Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
coins,cuda-basic,2,46.208225,45.462112,46.0217,53.660992,5.452096,30.5928
coins,cuda-basic,4,9.248000,8.718432,8.97724,16.770624,12.040064,14.2915
coins,cuda-basic,8,2.954784,2.448064,2.63352,10.281760,5.778656,7.44187
coins,cuda-basic,16,2.240736,1.717440,2.02972,9.938272,5.064640,7.68193
coins,cuda-basic,32,2.504544,1.924672,2.31299,10.503648,5.452096,8.90015
coins,cuda-basic-4,2,10.447168,9.868832,10.1342,13.802144,3.465856,8.60553
coins,cuda-basic-4,4,3.595008,3.010528,3.19318,7.179040,4.929824,5.62796
coins,cuda-basic-4,8,2.297120,1.782432,1.86247,6.200448,3.691200,4.02385
coins,cuda-basic-4,16,2.159904,1.650592,1.94076,6.059072,3.605120,4.97205
coins,cuda-basic-4,32,2.184800,1.658752,1.91439,5.715680,3.465856,4.57959
coins,cuda-opt,2,10.496832,9.986080,10.349,13.875520,3.438240,8.51972
coins,cuda-opt,4,3.476640,2.966752,3.24336,7.150496,4.899744,6.1314
coins,cuda-opt,8,2.230912,1.725152,2.0323,5.945536,3.677632,5.06459
coins,cuda-opt,16,2.151712,1.624768,1.93683,6.330848,3.618592,5.06414
coins,cuda-opt,32,2.151968,1.655360,1.72912,5.305472,3.438240,3.71542
