Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
fractal,cuda-basic,2,4918.380859,4909.081055,4915.03,4938.678711,55.496639,2499.11
fractal,cuda-basic,4,807.962158,805.519958,806.653,829.852600,818.997803,824.586
fractal,cuda-basic,8,137.857605,136.322617,136.768,164.385406,149.333221,154.431
fractal,cuda-basic,16,53.629826,52.197281,53.1051,81.506973,69.933342,77.5214
fractal,cuda-basic,32,43.259392,42.348450,42.8056,71.016190,55.496639,64.1177
fractal,cuda-basic-4,2,856.877258,854.435486,855.223,864.487427,26.823551,444.128
fractal,cuda-basic-4,4,160.670822,159.038239,159.708,170.951035,164.021927,166.966
fractal,cuda-basic-4,8,42.529247,40.945889,41.7539,52.450497,46.193054,49.0243
fractal,cuda-basic-4,16,25.541985,24.613184,25.1442,35.862175,29.855520,33.0428
fractal,cuda-basic-4,32,22.354816,22.108704,22.23,28.570175,26.823551,27.3578
fractal,cuda-opt,2,860.334290,859.381348,859.842,867.065674,27.990688,448.615
fractal,cuda-opt,4,160.682022,159.552444,160.23,171.044159,164.746109,168.347
fractal,cuda-opt,8,41.125599,40.012127,40.7162,51.431137,45.313919,49.1431
fractal,cuda-opt,16,24.882528,24.114176,24.5258,34.335392,28.857216,31.5762
fractal,cuda-opt,32,24.186464,23.307936,23.8766,34.384640,27.990688,32.1247
