Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
synthetic,cuda-basic,2,3459.704834,3451.991455,3454.74,3522.574219,82.576477,1806.03
synthetic,cuda-basic,4,703.052673,695.740723,700.109,783.229736,750.381897,765.534
synthetic,cuda-basic,8,119.119293,117.923775,118.215,219.898880,168.087875,174.487
synthetic,cuda-basic,16,40.916576,39.915394,40.6112,141.776291,97.115616,136.48
synthetic,cuda-basic,32,33.732544,32.327457,32.9292,134.263931,82.576477,101.159
synthetic,cuda-basic-4,2,857.323364,852.112610,855.168,876.524414,28.679905,455.846
synthetic,cuda-basic-4,4,148.327133,147.625504,147.929,177.244995,162.128738,169.148
synthetic,cuda-basic-4,8,27.784576,27.001408,27.3256,56.390305,41.503136,48.4371
synthetic,cuda-basic-4,16,13.876544,13.346912,13.5998,42.557632,27.354401,35.0805
synthetic,cuda-basic-4,32,15.362976,14.750816,15.1389,44.155266,28.679905,39.0182
synthetic,cuda-opt,2,861.385742,857.916870,860.347,889.979126,29.287840,459.856
synthetic,cuda-opt,4,148.638687,147.863556,148.31,177.205124,161.899490,170.689
synthetic,cuda-opt,8,26.264576,26.057217,26.2109,55.092159,52.785313,54.2969
synthetic,cuda-opt,16,13.143040,12.516864,12.777,41.937279,27.060415,32.8793
synthetic,cuda-opt,32,15.445088,14.854816,15.3011,44.051266,29.287840,42.014
