Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
tree,cuda-basic,2,1166.755981,1161.992188,1164.81,1178.978760,27.033472,604.331
tree,cuda-basic,4,249.146179,247.934875,248.354,263.537537,255.825378,260.43
tree,cuda-basic,8,49.092545,48.176064,48.6234,63.131424,55.842400,58.5999
tree,cuda-basic,16,19.423136,18.910912,19.2911,35.025696,26.063456,32.0865
tree,cuda-basic,32,20.207392,19.502337,19.9957,35.947712,27.033472,33.0859
tree,cuda-basic-4,2,251.861725,250.087524,250.993,258.461609,15.686656,136.897
tree,cuda-basic-4,4,52.788544,51.623966,52.1919,59.377697,55.165440,57.6781
tree,cuda-basic-4,8,15.446048,14.941184,15.2446,21.997696,18.647104,20.6534
tree,cuda-basic-4,16,13.801408,13.084320,13.583,20.344671,17.081793,19.5729
tree,cuda-basic-4,32,12.898208,12.196640,12.5675,19.491776,15.686656,18.0723
tree,cuda-opt,2,250.496353,248.224258,249.58,257.069672,16.186016,137.221
tree,cuda-opt,4,52.377502,51.491425,51.9458,58.910370,54.977345,56.9072
tree,cuda-opt,8,15.163552,14.664992,14.9467,21.738720,18.127935,19.9675
tree,cuda-opt,16,11.812352,11.162720,11.3999,18.328064,14.622880,15.6795
tree,cuda-opt,32,13.316352,12.666944,13.118,19.932608,16.186016,19.1016
