Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
circle-in-256,cuda-basic,4,20.998592,20.353216,20.7842,34.653633,28.174751,32.5318
circle-in-256,cuda-basic,8,4.375872,3.874944,4.21524,17.995905,10.808352,15.4365
circle-in-256,cuda-basic,16,2.722048,2.233472,2.61113,16.391359,9.233568,14.7116
circle-in-256,cuda-basic,32,3.153056,2.331424,2.70276,17.661184,9.241760,13.7774
circle-in-256,cuda-basic-4,4,6.182528,5.661152,5.81811,12.453088,9.077408,10.0521
circle-in-256,cuda-basic-4,8,2.692704,2.328800,2.59417,8.924352,6.153888,8.14951
circle-in-256,cuda-basic-4,16,2.417952,1.881024,2.18648,8.690464,5.257376,7.22481
circle-in-256,cuda-basic-4,32,2.917568,2.331936,2.54516,8.465920,5.509248,6.47172
circle-in-256,cuda-opt,4,6.110816,5.592384,6.04282,12.428224,9.005632,11.966
circle-in-256,cuda-opt,8,2.616576,2.118400,2.54305,8.874336,5.500544,8.4327
circle-in-256,cuda-opt,16,2.365216,1.869728,2.17824,8.644608,5.283936,7.38608
circle-in-256,cuda-opt,32,3.050016,2.450976,2.74779,8.912480,5.672256,7.25053
