Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
circle-out-256,cuda-basic,4,55.617760,54.861408,55.0976,69.185791,61.817249,63.8144
circle-out-256,cuda-basic,8,11.229216,10.666400,11.1137,24.885471,18.305920,23.7213
circle-out-256,cuda-basic,16,4.772608,4.278816,4.46256,17.249409,11.173024,13.383
circle-out-256,cuda-basic,32,5.583776,5.048672,5.21193,19.360319,11.430880,13.824
circle-out-256,cuda-basic-4,4,13.280384,12.726272,13.1417,19.595104,16.081600,18.7336
circle-out-256,cuda-basic-4,8,4.366752,3.859360,4.10799,10.680384,7.294080,8.94172
circle-out-256,cuda-basic-4,16,3.983168,3.380960,3.71196,10.322400,6.805536,8.70411
circle-out-256,cuda-basic-4,32,4.481568,3.979680,4.16515,10.111136,7.160128,8.16431
circle-out-256,cuda-opt,4,13.260608,12.574176,12.9971,19.635521,15.928544,18.3214
circle-out-256,cuda-opt,8,4.286912,3.764704,4.01034,10.538080,7.119936,8.7073
circle-out-256,cuda-opt,16,3.448800,2.807968,3.19997,9.581504,6.267488,8.59038
circle-out-256,cuda-opt,32,4.662944,4.114976,4.36781,10.605472,7.370656,8.82538
