Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
circle-in-1024,cuda-basic,4,1021.816528,1018.461975,1020.13,1143.911011,1091.407837,1121.23
circle-in-1024,cuda-basic,8,153.772583,152.476608,153.039,302.999817,225.174210,268.346
circle-in-1024,cuda-basic,16,50.458336,49.554111,49.8632,199.753693,122.236732,145.166
circle-in-1024,cuda-basic,32,39.554977,38.911232,39.3368,190.847015,112.022560,164.593
circle-in-1024,cuda-basic-4,4,175.071259,173.861023,174.273,215.599808,194.023514,202.639
circle-in-1024,cuda-basic-4,8,30.712193,30.035200,30.5606,71.685760,50.625473,68.4897
circle-in-1024,cuda-basic-4,16,15.290208,14.575488,14.841,56.199520,34.785538,43.3212
circle-in-1024,cuda-basic-4,32,16.233856,15.894944,15.9795,57.299809,55.513889,56.5607
circle-in-1024,cuda-opt,4,174.129700,172.965317,173.587,214.865952,193.599579,209.418
circle-in-1024,cuda-opt,8,29.389984,28.523935,29.0592,70.037117,48.660961,62.4856
circle-in-1024,cuda-opt,16,14.746112,13.997728,14.3978,55.510849,34.250145,45.3
circle-in-1024,cuda-opt,32,16.428991,15.782432,16.1415,57.271873,35.980766,50.0962
circle-in-2048,cuda-basic,4,7850.570801,7821.644531,7830.05,8326.365234,8104.591797,8215.17
circle-in-2048,cuda-basic,8,1117.592529,1116.176880,1117.03,1518.044067,1398.739136,1455.9
circle-in-2048,cuda-basic,16,340.931885,339.536072,340.397,914.472107,625.311584,779.651
circle-in-2048,cuda-basic,32,235.039520,231.287903,233.356,819.414734,536.241272,696.768
circle-in-2048,cuda-basic-4,4,1267.515869,1264.587524,1266.06,1389.275513,1337.292725,1364.15
circle-in-2048,cuda-basic-4,8,190.446564,189.186722,189.987,341.475677,265.440735,325.816
circle-in-2048,cuda-basic-4,16,71.030434,70.102592,70.6023,220.818848,144.645157,187.826
circle-in-2048,cuda-basic-4,32,68.082657,67.346275,67.8593,218.973114,140.234558,203.359
circle-in-2048,cuda-opt,4,1279.873047,1276.558350,1277.83,1402.629639,1351.051636,1385.33
circle-in-2048,cuda-opt,8,186.111176,184.568924,185.359,335.263031,257.265991,315.18
circle-in-2048,cuda-opt,16,68.496414,67.657791,68.1158,219.656967,141.771622,189.308
circle-in-2048,cuda-opt,32,69.504158,68.643135,69.0191,220.786652,140.849121,169.502
circle-in-256,cuda-basic,4,20.998592,20.353216,20.7842,34.653633,28.174751,32.5318
circle-in-256,cuda-basic,8,4.375872,3.874944,4.21524,17.995905,10.808352,15.4365
circle-in-256,cuda-basic,16,2.722048,2.233472,2.61113,16.391359,9.233568,14.7116
circle-in-256,cuda-basic,32,3.153056,2.331424,2.70276,17.661184,9.241760,13.7774
circle-in-256,cuda-basic-4,4,6.182528,5.661152,5.81811,12.453088,9.077408,10.0521
circle-in-256,cuda-basic-4,8,2.692704,2.328800,2.59417,8.924352,6.153888,8.14951
circle-in-256,cuda-basic-4,16,2.417952,1.881024,2.18648,8.690464,5.257376,7.22481
circle-in-256,cuda-basic-4,32,2.917568,2.331936,2.54516,8.465920,5.509248,6.47172
circle-in-256,cuda-opt,4,6.110816,5.592384,6.04282,12.428224,9.005632,11.966
circle-in-256,cuda-opt,8,2.616576,2.118400,2.54305,8.874336,5.500544,8.4327
circle-in-256,cuda-opt,16,2.365216,1.869728,2.17824,8.644608,5.283936,7.38608
circle-in-256,cuda-opt,32,3.050016,2.450976,2.74779,8.912480,5.672256,7.25053
circle-in-512,cuda-basic,4,149.958023,148.850693,149.49,190.693817,169.314972,182.037
circle-in-512,cuda-basic,8,23.878401,23.096256,23.3965,64.600128,43.056927,50.8806
