Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
circle,cuda-basic,2,19.988832,19.956833,19.9743,47.897858,14.586816,28.8297
circle,cuda-basic,4,5.579808,5.553344,5.56699,33.532001,19.252480,26.7703
circle,cuda-basic,8,1.491840,1.455584,1.47271,29.596607,15.109152,21.8498
circle,cuda-basic,16,0.774208,0.745440,0.761101,28.751553,14.382592,20.8653
circle,cuda-basic,32,0.966784,0.934624,0.946611,29.010208,14.586816,20.0289
circle,cuda-basic-4,2,12.430560,12.376512,12.4016,40.226753,14.185376,26.8369
circle,cuda-basic-4,4,3.669760,3.632672,3.65608,31.800896,17.346144,25.7191
circle,cuda-basic-4,8,1.076256,1.048096,1.06365,29.057440,14.656128,24.9691
circle,cuda-basic-4,16,0.560480,0.523488,0.538573,28.429953,14.144832,19.4522
circle,cuda-basic-4,32,0.535424,0.508832,0.525373,28.642273,14.185376,23.6481
circle,cuda-opt,2,5.834784,5.786848,5.81006,34.056000,14.083648,25.8352
circle,cuda-opt,4,1.522336,1.490976,1.50544,29.536863,15.195488,22.6825
circle,cuda-opt,8,0.472000,0.443936,0.460509,28.360191,14.081088,22.4531
circle,cuda-opt,16,0.347136,0.316640,0.333965,28.402048,14.006816,23.9696
circle,cuda-opt,32,0.446624,0.416832,0.430659,28.397345,14.083648,20.7589
