Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
coins,cuda-basic,2,0.122848,0.100128,0.112973,0.906048,0.442944,0.730123
coins,cuda-basic,4,0.070432,0.049440,0.0633664,0.872512,0.440800,0.759584
coins,cuda-basic,8,0.054400,0.032768,0.0407936,0.839712,0.424064,0.580742
coins,cuda-basic,16,0.049792,0.032000,0.0436896,0.863808,0.435360,0.709722
coins,cuda-basic,32,0.058560,0.032736,0.0469216,0.842560,0.442944,0.736851
coins,cuda-basic-4,2,0.094944,0.076320,0.0856736,0.859680,0.423232,0.664648
coins,cuda-basic-4,4,0.060768,0.043744,0.054336,0.916384,0.438592,0.701066
coins,cuda-basic-4,8,0.061920,0.031456,0.0456128,0.835616,0.426752,0.671302
coins,cuda-basic-4,16,0.051232,0.029760,0.0406336,0.862592,0.434400,0.659174
coins,cuda-basic-4,32,0.048832,0.029888,0.0403328,0.843008,0.423232,0.671603
coins,cuda-opt,2,0.070464,0.051648,0.065552,0.858368,0.425184,0.673877
coins,cuda-opt,4,0.052800,0.032352,0.0432096,0.819392,0.422144,0.640848
coins,cuda-opt,8,0.041856,0.027424,0.0298592,0.693376,0.417600,0.455475
coins,cuda-opt,16,0.048768,0.028384,0.0404864,0.965472,0.438912,0.688246
coins,cuda-opt,32,0.047872,0.028704,0.0369952,0.850016,0.425184,0.590637
