Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
fractal,cuda-basic,2,3.108288,3.072064,3.09103,9.683232,3.419552,6.64064
fractal,cuda-basic,4,0.899488,0.875968,0.889766,7.470112,4.127648,5.91298
fractal,cuda-basic,8,0.274048,0.246816,0.255376,7.902272,3.462208,4.8548
fractal,cuda-basic,16,0.166112,0.141216,0.15712,6.731680,3.384992,6.18969
fractal,cuda-basic,32,0.186944,0.163392,0.177219,6.775264,3.419552,5.23965
fractal,cuda-basic-4,2,1.953280,1.920704,1.93895,8.521344,3.375072,6.63167
fractal,cuda-basic-4,4,0.605888,0.580896,0.595469,7.169504,3.801088,5.70131
fractal,cuda-basic-4,8,0.199488,0.180640,0.192106,6.777984,3.393344,5.53371
fractal,cuda-basic-4,16,0.130336,0.109696,0.122496,6.702336,3.757088,6.08924
fractal,cuda-basic-4,32,0.124448,0.103008,0.114573,6.684544,3.375072,5.40297
fractal,cuda-opt,2,0.940800,0.910080,0.927354,7.596320,3.664000,5.88084
fractal,cuda-opt,4,0.269920,0.249536,0.25704,6.828672,3.471904,4.59768
fractal,cuda-opt,8,0.112832,0.090496,0.102954,6.722208,3.298528,5.0452
fractal,cuda-opt,16,0.093664,0.071648,0.0844896,6.661472,3.290272,5.11181
fractal,cuda-opt,32,0.107744,0.091712,0.102861,6.701312,3.664000,5.92155
