Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
circle,cuda-basic,2,19.988832,19.956833,19.9743,47.897858,14.586816,28.8297
circle,cuda-basic,4,5.579808,5.553344,5.56699,33.532001,19.252480,26.7703
circle,cuda-basic,8,1.491840,1.455584,1.47271,29.596607,15.109152,21.8498
circle,cuda-basic,16,0.774208,0.745440,0.761101,28.751553,14.382592,20.8653
circle,cuda-basic,32,0.966784,0.934624,0.946611,29.010208,14.586816,20.0289
circle,cuda-basic-4,2,12.430560,12.376512,12.4016,40.226753,14.185376,26.8369
circle,cuda-basic-4,4,3.669760,3.632672,3.65608,31.800896,17.346144,25.7191
circle,cuda-basic-4,8,1.076256,1.048096,1.06365,29.057440,14.656128,24.9691
circle,cuda-basic-4,16,0.560480,0.523488,0.538573,28.429953,14.144832,19.4522
circle,cuda-basic-4,32,0.535424,0.508832,0.525373,28.642273,14.185376,23.6481
circle,cuda-opt,2,5.834784,5.786848,5.81006,34.056000,14.083648,25.8352
circle,cuda-opt,4,1.522336,1.490976,1.50544,29.536863,15.195488,22.6825
circle,cuda-opt,8,0.472000,0.443936,0.460509,28.360191,14.081088,22.4531
circle,cuda-opt,16,0.347136,0.316640,0.333965,28.402048,14.006816,23.9696
circle,cuda-opt,32,0.446624,0.416832,0.430659,28.397345,14.083648,20.7589
coins,cuda-basic,2,0.122848,0.100128,0.112973,0.906048,0.442944,0.730123
coins,cuda-basic,4,0.070432,0.049440,0.0633664,0.872512,0.440800,0.759584
coins,cuda-basic,8,0.054400,0.032768,0.0407936,0.839712,0.424064,0.580742
coins,cuda-basic,16,0.049792,0.032000,0.0436896,0.863808,0.435360,0.709722
coins,cuda-basic,32,0.058560,0.032736,0.0469216,0.842560,0.442944,0.736851
coins,cuda-basic-4,2,0.094944,0.076320,0.0856736,0.859680,0.423232,0.664648
coins,cuda-basic-4,4,0.060768,0.043744,0.054336,0.916384,0.438592,0.701066
coins,cuda-basic-4,8,0.061920,0.031456,0.0456128,0.835616,0.426752,0.671302
coins,cuda-basic-4,16,0.051232,0.029760,0.0406336,0.862592,0.434400,0.659174
coins,cuda-basic-4,32,0.048832,0.029888,0.0403328,0.843008,0.423232,0.671603
coins,cuda-opt,2,0.070464,0.051648,0.065552,0.858368,0.425184,0.673877
coins,cuda-opt,4,0.052800,0.032352,0.0432096,0.819392,0.422144,0.640848
coins,cuda-opt,8,0.041856,0.027424,0.0298592,0.693376,0.417600,0.455475
