Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
synthetic,cuda-basic,2,5.035072,5.018720,5.02895,13.146848,4.577472,8.87855
synthetic,cuda-basic,4,1.430240,1.410400,1.41788,9.449120,5.739968,6.84833
synthetic,cuda-basic,8,0.410848,0.399904,0.405754,9.272832,9.182368,9.22185
synthetic,cuda-basic,16,0.236224,0.210336,0.220054,9.072832,4.532704,6.64725
synthetic,cuda-basic,32,0.273248,0.250560,0.25903,9.087200,4.577472,5.57943
synthetic,cuda-basic-4,2,3.146464,3.117792,3.12869,11.178496,7.235776,8.38313
synthetic,cuda-basic-4,4,0.954304,0.930368,0.944112,9.752992,5.299392,7.58676
synthetic,cuda-basic-4,8,0.296512,0.275872,0.285597,9.126176,4.618304,6.72953
synthetic,cuda-basic-4,16,0.179744,0.153888,0.167558,9.165664,4.502432,7.78456
synthetic,cuda-basic-4,32,0.171616,0.163328,0.167782,8.995616,7.235776,8.45442
synthetic,cuda-opt,2,1.495008,1.467680,1.48013,10.433248,4.445952,7.55537
synthetic,cuda-opt,4,0.426208,0.391808,0.406989,9.260512,4.717024,6.71574
synthetic,cuda-opt,8,0.150944,0.132128,0.142368,8.949888,4.466336,6.67614
synthetic,cuda-opt,16,0.125568,0.098944,0.115747,8.918048,4.464640,7.65449
synthetic,cuda-opt,32,0.146336,0.124832,0.139738,8.981472,4.445952,7.69688
