Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
tree,cuda-basic,2,1.496224,1.471328,1.49073,5.288128,2.093568,4.17529
tree,cuda-basic,4,0.465984,0.437280,0.45543,5.073120,2.439968,3.94367
tree,cuda-basic,8,0.154496,0.132128,0.146554,3.926592,2.096000,3.23146
tree,cuda-basic,16,0.102080,0.083200,0.0915648,3.860832,2.047488,2.8302
tree,cuda-basic,32,0.123552,0.094336,0.110282,3.910368,2.093568,3.44866
tree,cuda-basic-4,2,0.966560,0.928512,0.943504,4.757824,2.025920,3.15842
tree,cuda-basic-4,4,0.312416,0.290560,0.299226,4.093984,2.251584,2.92987
tree,cuda-basic-4,8,0.121056,0.103168,0.112019,3.908480,2.267776,2.99271
tree,cuda-basic-4,16,0.084736,0.065312,0.0780096,3.871808,2.068736,3.16884
tree,cuda-basic-4,32,0.086048,0.064384,0.0720992,3.857568,2.025920,2.74641
tree,cuda-opt,2,0.492416,0.467616,0.48009,4.337632,2.008416,3.46161
tree,cuda-opt,4,0.161120,0.134304,0.146304,4.300032,2.099264,3.04264
tree,cuda-opt,8,0.079776,0.059424,0.0701088,3.878176,2.021728,3.0421
tree,cuda-opt,16,0.070464,0.049408,0.0583584,3.875328,2.037376,2.78843
tree,cuda-opt,32,0.084800,0.055168,0.0652704,3.962816,2.008416,2.70559
