Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
circle,cuda-basic,2,7737.937012,7727.535645,7731.48,7859.912109,111.315102,3998.42
circle,cuda-basic,4,1021.217590,1015.766724,1017.94,1142.251465,1085.749512,1112.14
circle,cuda-basic,8,152.771683,151.662491,152.157,302.463928,224.676254,263.208
circle,cuda-basic,16,50.114910,49.232574,49.8021,200.244217,121.782242,172.631
circle,cuda-basic,32,39.400543,38.763649,39.1769,190.924103,111.315102,164.171
circle,cuda-basic-4,2,1132.021606,1128.897827,1130.62,1170.818115,35.200577,600.862
circle,cuda-basic-4,4,174.101440,173.303589,173.773,215.076294,193.508377,207.113
circle,cuda-basic-4,8,30.465055,29.694431,30.0898,71.572510,49.690334,61.0384
circle,cuda-basic-4,16,15.226240,14.440128,14.995,56.381920,34.576096,50.4847
circle,cuda-basic-4,32,15.953248,15.308960,15.5961,57.205696,35.200577,45.1222
circle,cuda-opt,2,1135.993164,1132.315308,1133.8,1168.999390,35.889759,604.836
circle,cuda-opt,4,173.186584,172.191589,172.798,214.003998,192.539352,207.347
circle,cuda-opt,8,29.137024,28.449217,28.7464,69.996193,48.568512,56.8339
circle,cuda-opt,16,14.603424,13.963360,14.4784,55.479713,34.093857,51.3187
circle,cuda-opt,32,16.353697,15.647168,16.129,57.512417,35.889759,51.0897
