Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
coins,cuda-basic,2,45.992962,45.403263,45.6495,52.522655,5.459776,29.1043
coins,cuda-basic,4,9.224128,8.698240,9.12133,16.831425,12.515776,15.7922
coins,cuda-basic,8,2.964704,2.447008,2.70241,10.590720,5.717088,8.10473
coins,cuda-basic,16,2.240544,1.742432,1.96672,9.907136,5.606912,7.5256
coins,cuda-basic,32,2.444832,1.956032,2.19064,10.523712,5.459776,7.74423
coins,cuda-basic-4,2,10.368800,9.881600,10.1879,13.779200,3.503328,8.86493
coins,cuda-basic-4,4,3.537536,3.014848,3.29524,7.260576,4.924896,6.18997
coins,cuda-basic-4,8,2.315456,1.833536,2.25052,6.069248,3.811456,5.82845
coins,cuda-basic-4,16,2.081376,1.667424,1.797,5.396192,3.689568,4.23624
coins,cuda-basic-4,32,2.186144,1.695840,1.9629,5.704672,3.503328,4.76129
coins,cuda-opt,2,10.461824,9.920192,10.2379,13.843616,3.705824,8.98186
coins,cuda-opt,4,3.475136,2.947808,3.1675,7.214048,4.873600,5.82112
coins,cuda-opt,8,2.237280,1.730400,1.93471,6.030400,3.723552,4.61131
coins,cuda-opt,16,2.138848,1.657568,1.9768,5.975392,3.675264,5.21683
coins,cuda-opt,32,2.177760,1.737472,2.03778,5.686784,3.705824,5.08948
