Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
fractal,cuda-basic,2,4925.230469,4907.298828,4912.08,4943.285645,55.717857,2497.12
fractal,cuda-basic,4,806.682434,805.376831,805.897,824.797974,819.071411,820.404
fractal,cuda-basic,8,137.140732,136.582306,136.853,164.620285,150.047394,159.53
fractal,cuda-basic,16,53.210815,52.233856,52.679,79.602844,65.365280,71.6369
fractal,cuda-basic,32,43.050560,42.404671,42.7298,66.501724,55.717857,61.9223
fractal,cuda-basic-4,2,856.510620,853.622009,854.48,863.050049,27.422497,445.949
fractal,cuda-basic-4,4,160.391418,159.174149,159.57,169.547226,164.332993,167.232
fractal,cuda-basic-4,8,42.386784,41.383713,41.7919,52.159679,46.163265,49.3468
fractal,cuda-basic-4,16,25.564705,24.523424,24.885,35.581570,29.172192,31.2487
fractal,cuda-basic-4,32,22.754112,22.156864,22.5498,33.005600,27.422497,30.6733
fractal,cuda-opt,2,860.677490,858.251465,859.603,867.846619,28.299711,448.997
fractal,cuda-opt,4,160.334045,159.395493,159.648,169.860825,164.379837,168.173
fractal,cuda-opt,8,41.081760,40.024994,40.6561,51.424191,44.651550,48.556
fractal,cuda-opt,16,25.079201,24.062977,24.7603,35.434528,28.895905,33.0603
fractal,cuda-opt,32,24.169504,23.008575,23.6965,34.437855,28.299711,31.8169
