Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
circle,cuda-basic,2,7737.937012,7727.535645,7731.48,7859.912109,111.315102,3998.42
circle,cuda-basic,4,1021.217590,1015.766724,1017.94,1142.251465,1085.749512,1112.14
circle,cuda-basic,8,152.771683,151.662491,152.157,302.463928,224.676254,263.208
circle,cuda-basic,16,50.114910,49.232574,49.8021,200.244217,121.782242,172.631
circle,cuda-basic,32,39.400543,38.763649,39.1769,190.924103,111.315102,164.171
circle,cuda-basic-4,2,1132.021606,1128.897827,1130.62,1170.818115,35.200577,600.862
circle,cuda-basic-4,4,174.101440,173.303589,173.773,215.076294,193.508377,207.113
circle,cuda-basic-4,8,30.465055,29.694431,30.0898,71.572510,49.690334,61.0384
circle,cuda-basic-4,16,15.226240,14.440128,14.995,56.381920,34.576096,50.4847
circle,cuda-basic-4,32,15.953248,15.308960,15.5961,57.205696,35.200577,45.1222
circle,cuda-opt,2,1135.993164,1132.315308,1133.8,1168.999390,35.889759,604.836
circle,cuda-opt,4,173.186584,172.191589,172.798,214.003998,192.539352,207.347
circle,cuda-opt,8,29.137024,28.449217,28.7464,69.996193,48.568512,56.8339
circle,cuda-opt,16,14.603424,13.963360,14.4784,55.479713,34.093857,51.3187
circle,cuda-opt,32,16.353697,15.647168,16.129,57.512417,35.889759,51.0897
coins,cuda-basic,2,45.992962,45.403263,45.6495,52.522655,5.459776,29.1043
coins,cuda-basic,4,9.224128,8.698240,9.12133,16.831425,12.515776,15.7922
coins,cuda-basic,8,2.964704,2.447008,2.70241,10.590720,5.717088,8.10473
coins,cuda-basic,16,2.240544,1.742432,1.96672,9.907136,5.606912,7.5256
coins,cuda-basic,32,2.444832,1.956032,2.19064,10.523712,5.459776,7.74423
coins,cuda-basic-4,2,10.368800,9.881600,10.1879,13.779200,3.503328,8.86493
coins,cuda-basic-4,4,3.537536,3.014848,3.29524,7.260576,4.924896,6.18997
coins,cuda-basic-4,8,2.315456,1.833536,2.25052,6.069248,3.811456,5.82845
coins,cuda-basic-4,16,2.081376,1.667424,1.797,5.396192,3.689568,4.23624
coins,cuda-basic-4,32,2.186144,1.695840,1.9629,5.704672,3.503328,4.76129
coins,cuda-opt,2,10.461824,9.920192,10.2379,13.843616,3.705824,8.98186
coins,cuda-opt,4,3.475136,2.947808,3.1675,7.214048,4.873600,5.82112
coins,cuda-opt,8,2.237280,1.730400,1.93471,6.030400,3.723552,4.61131
coins,cuda-opt,16,2.138848,1.657568,1.9768,5.975392,3.675264,5.21683
coins,cuda-opt,32,2.177760,1.737472,2.03778,5.686784,3.705824,5.08948
fractal,cuda-basic,2,4925.230469,4907.298828,4912.08,4943.285645,55.717857,2497.12
fractal,cuda-basic,4,806.682434,805.376831,805.897,824.797974,819.071411,820.404
fractal,cuda-basic,8,137.140732,136.582306,136.853,164.620285,150.047394,159.53
fractal,cuda-basic,16,53.210815,52.233856,52.679,79.602844,65.365280,71.6369
fractal,cuda-basic,32,43.050560,42.404671,42.7298,66.501724,55.717857,61.9223
fractal,cuda-basic-4,2,856.510620,853.622009,854.48,863.050049,27.422497,445.949
fractal,cuda-basic-4,4,160.391418,159.174149,159.57,169.547226,164.332993,167.232
fractal,cuda-basic-4,8,42.386784,41.383713,41.7919,52.159679,46.163265,49.3468
fractal,cuda-basic-4,16,25.564705,24.523424,24.885,35.581570,29.172192,31.2487
fractal,cuda-basic-4,32,22.754112,22.156864,22.5498,33.005600,27.422497,30.6733
fractal,cuda-opt,2,860.677490,858.251465,859.603,867.846619,28.299711,448.997
fractal,cuda-opt,4,160.334045,159.395493,159.648,169.860825,164.379837,168.173
