Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
synthetic,cuda-basic,2,3459.766602,3451.371582,3454.76,3525.591553,82.920448,1814.28
synthetic,cuda-basic,4,703.077698,697.750122,700.345,788.604492,748.777649,759.55
synthetic,cuda-basic,8,119.035263,118.064445,118.371,219.468414,168.472122,182.261
synthetic,cuda-basic,16,40.706753,39.913761,40.3758,141.599396,90.347359,123.95
synthetic,cuda-basic,32,33.759743,32.627422,33.1037,134.369278,82.920448,117.125
synthetic,cuda-basic-4,2,855.531982,854.035889,854.697,876.631226,29.345407,451.968
synthetic,cuda-basic-4,4,148.443039,147.549500,147.803,176.974014,161.944229,167.16
synthetic,cuda-basic-4,8,27.720640,26.965343,27.2342,56.305058,41.428032,46.1298
synthetic,cuda-basic-4,16,13.897728,13.280288,13.6443,42.538528,27.695744,36.0853
synthetic,cuda-basic-4,32,15.383360,14.734688,14.9302,44.047615,29.345407,33.1217
synthetic,cuda-opt,2,860.902466,859.118530,860.198,879.981750,29.268543,456.001
synthetic,cuda-opt,4,148.552795,147.850021,148.168,177.128387,162.071716,169.099
synthetic,cuda-opt,8,26.290112,25.547297,26.1039,55.206207,40.084991,52.4916
synthetic,cuda-opt,16,13.200992,12.569856,13.044,41.633728,26.591105,39.852
synthetic,cuda-opt,32,15.411744,14.792480,15.0594,44.063774,29.268543,35.1922
