Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
tree,cuda-basic,2,1164.362793,1161.767944,1162.89,1175.059937,27.362207,602.303
tree,cuda-basic,4,249.446945,247.676865,248.558,265.268890,255.640610,261.31
tree,cuda-basic,8,49.380096,48.248638,49.006,64.848511,55.894207,62.7206
tree,cuda-basic,16,19.449793,18.910784,19.0822,35.000641,26.608480,29.3186
tree,cuda-basic,32,20.273985,19.565632,19.9931,35.935295,27.362207,33.0658
tree,cuda-basic-4,2,252.300735,249.999420,251.248,258.529938,15.643904,137.344
tree,cuda-basic-4,4,52.705952,51.603870,52.1339,59.208511,55.264095,57.4204
tree,cuda-basic-4,8,15.464064,14.938688,15.2761,22.134304,18.461281,20.72
tree,cuda-basic-4,16,13.824672,13.074752,13.5364,20.392288,16.537825,19.2222
tree,cuda-basic-4,32,12.749184,12.136608,12.5149,19.345119,15.643904,17.8352
tree,cuda-opt,2,249.373734,248.366074,248.755,255.051712,16.039392,135.993
tree,cuda-opt,4,52.312546,51.484703,51.8063,58.867680,54.957825,56.2492
tree,cuda-opt,8,15.180704,14.658496,14.8982,21.711040,18.140097,19.6861
tree,cuda-opt,16,11.765120,11.262336,11.6706,18.407360,14.796160,17.8835
tree,cuda-opt,32,13.309216,12.515360,13.0337,19.926880,16.039392,18.5877
