Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
circle,cuda-basic,2,109.949409,109.718498,109.795,138.074493,17.119616,78.2497
circle,cuda-basic,4,28.720736,28.641727,28.6731,56.667618,42.495617,51.4431
circle,cuda-basic,8,5.762144,5.721664,5.73861,33.752930,19.349056,26.158
circle,cuda-basic,16,3.012256,2.975808,2.99031,30.991327,16.657375,23.9836
circle,cuda-basic,32,3.498560,3.453248,3.47649,31.427776,17.119616,25.013
circle,cuda-basic-4,2,28.923744,28.898497,28.9158,54.190594,15.343200,36.0844
circle,cuda-basic-4,4,8.639584,8.614016,8.63294,36.720512,22.248064,34.4327
circle,cuda-basic-4,8,2.513184,2.474976,2.49958,30.431135,16.159904,26.0499
circle,cuda-basic-4,16,1.596960,1.560480,1.58021,29.987104,15.234144,21.7596
circle,cuda-basic-4,32,1.777312,1.742368,1.75916,29.603329,15.343200,24.701
circle,cuda-opt,2,28.978497,28.929600,28.9444,56.848671,15.407712,34.5367
circle,cuda-opt,4,8.612032,8.566176,8.59005,36.580063,22.240801,28.8113
circle,cuda-opt,8,2.192448,2.145088,2.16213,30.153696,15.726944,20.0466
circle,cuda-opt,16,1.373248,1.336576,1.3555,29.230816,14.998624,24.7724
circle,cuda-opt,32,1.733440,1.696544,1.71428,29.695423,15.407712,20.9091
