Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
coins,cuda-basic,2,0.527872,0.493632,0.509946,1.303360,0.438912,0.836866
coins,cuda-basic,4,0.175200,0.149600,0.162557,0.944800,0.539008,0.775037
coins,cuda-basic,8,0.084704,0.052608,0.0680608,0.874912,0.446368,0.764682
coins,cuda-basic,16,0.062944,0.042016,0.0551872,0.859840,0.433568,0.708822
coins,cuda-basic,32,0.063072,0.044448,0.054416,0.854944,0.438912,0.650938
coins,cuda-basic-4,2,0.175840,0.152256,0.161395,0.959968,0.432832,0.661403
coins,cuda-basic-4,4,0.092128,0.065920,0.0789312,0.885792,0.468544,0.706534
coins,cuda-basic-4,8,0.075360,0.042784,0.0527872,0.859008,0.430368,0.603514
coins,cuda-basic-4,16,0.056864,0.037088,0.0514784,0.861376,0.449536,0.74607
coins,cuda-basic-4,32,0.059168,0.038464,0.0476352,0.853792,0.432832,0.623296
coins,cuda-opt,2,0.175680,0.157184,0.167091,0.972256,0.439712,0.767189
coins,cuda-opt,4,0.086720,0.065504,0.075904,0.868704,0.461952,0.619504
coins,cuda-opt,8,0.062144,0.038624,0.0515456,0.845952,0.438592,0.668989
coins,cuda-opt,16,0.059328,0.036064,0.0501984,0.860544,0.436704,0.694554
coins,cuda-opt,32,0.058976,0.040448,0.0533408,0.853248,0.439712,0.747264
