Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
fractal,cuda-basic,2,16.818081,16.767679,16.788,24.520767,3.884672,14.4786
fractal,cuda-basic,4,4.431168,4.391040,4.4141,11.050624,7.778048,9.79399
fractal,cuda-basic,8,0.937376,0.906784,0.923696,7.531296,4.340864,6.46139
fractal,cuda-basic,16,0.518112,0.497120,0.507885,7.134080,6.014528,6.85121
fractal,cuda-basic,32,0.592128,0.555264,0.578288,7.162624,3.884672,5.97849
fractal,cuda-basic-4,2,4.492608,4.442944,4.46805,11.061472,3.733152,8.28711
fractal,cuda-basic-4,4,1.385088,1.356064,1.37168,7.976960,4.644064,7.23845
fractal,cuda-basic-4,8,0.451616,0.407584,0.429107,7.038720,3.621472,5.34803
fractal,cuda-basic-4,16,0.293504,0.267104,0.282624,6.847040,3.580000,5.79255
fractal,cuda-basic-4,32,0.313920,0.294592,0.308541,6.901344,3.733152,6.2197
fractal,cuda-opt,2,4.474528,4.454624,4.463,11.054720,3.532448,6.95556
fractal,cuda-opt,4,1.374496,1.336224,1.35961,7.972064,4.641664,6.67118
fractal,cuda-opt,8,0.389792,0.363552,0.38113,6.978304,3.637856,6.23389
fractal,cuda-opt,16,0.252544,0.232096,0.244419,6.838208,3.504960,5.7171
fractal,cuda-opt,32,0.299616,0.286752,0.293146,5.993824,3.532448,4.45219
