Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
circle,cuda-basic,2,109.949409,109.718498,109.795,138.074493,17.119616,78.2497
circle,cuda-basic,4,28.720736,28.641727,28.6731,56.667618,42.495617,51.4431
circle,cuda-basic,8,5.762144,5.721664,5.73861,33.752930,19.349056,26.158
circle,cuda-basic,16,3.012256,2.975808,2.99031,30.991327,16.657375,23.9836
circle,cuda-basic,32,3.498560,3.453248,3.47649,31.427776,17.119616,25.013
circle,cuda-basic-4,2,28.923744,28.898497,28.9158,54.190594,15.343200,36.0844
circle,cuda-basic-4,4,8.639584,8.614016,8.63294,36.720512,22.248064,34.4327
circle,cuda-basic-4,8,2.513184,2.474976,2.49958,30.431135,16.159904,26.0499
circle,cuda-basic-4,16,1.596960,1.560480,1.58021,29.987104,15.234144,21.7596
circle,cuda-basic-4,32,1.777312,1.742368,1.75916,29.603329,15.343200,24.701
circle,cuda-opt,2,28.978497,28.929600,28.9444,56.848671,15.407712,34.5367
circle,cuda-opt,4,8.612032,8.566176,8.59005,36.580063,22.240801,28.8113
circle,cuda-opt,8,2.192448,2.145088,2.16213,30.153696,15.726944,20.0466
circle,cuda-opt,16,1.373248,1.336576,1.3555,29.230816,14.998624,24.7724
circle,cuda-opt,32,1.733440,1.696544,1.71428,29.695423,15.407712,20.9091
coins,cuda-basic,2,0.527872,0.493632,0.509946,1.303360,0.438912,0.836866
coins,cuda-basic,4,0.175200,0.149600,0.162557,0.944800,0.539008,0.775037
coins,cuda-basic,8,0.084704,0.052608,0.0680608,0.874912,0.446368,0.764682
coins,cuda-basic,16,0.062944,0.042016,0.0551872,0.859840,0.433568,0.708822
coins,cuda-basic,32,0.063072,0.044448,0.054416,0.854944,0.438912,0.650938
coins,cuda-basic-4,2,0.175840,0.152256,0.161395,0.959968,0.432832,0.661403
coins,cuda-basic-4,4,0.092128,0.065920,0.0789312,0.885792,0.468544,0.706534
coins,cuda-basic-4,8,0.075360,0.042784,0.0527872,0.859008,0.430368,0.603514
coins,cuda-basic-4,16,0.056864,0.037088,0.0514784,0.861376,0.449536,0.74607
coins,cuda-basic-4,32,0.059168,0.038464,0.0476352,0.853792,0.432832,0.623296
coins,cuda-opt,2,0.175680,0.157184,0.167091,0.972256,0.439712,0.767189
coins,cuda-opt,4,0.086720,0.065504,0.075904,0.868704,0.461952,0.619504
coins,cuda-opt,8,0.062144,0.038624,0.0515456,0.845952,0.438592,0.668989
coins,cuda-opt,16,0.059328,0.036064,0.0501984,0.860544,0.436704,0.694554
coins,cuda-opt,32,0.058976,0.040448,0.0533408,0.853248,0.439712,0.747264
fractal,cuda-basic,2,16.818081,16.767679,16.788,24.520767,3.884672,14.4786
fractal,cuda-basic,4,4.431168,4.391040,4.4141,11.050624,7.778048,9.79399
fractal,cuda-basic,8,0.937376,0.906784,0.923696,7.531296,4.340864,6.46139
fractal,cuda-basic,16,0.518112,0.497120,0.507885,7.134080,6.014528,6.85121
fractal,cuda-basic,32,0.592128,0.555264,0.578288,7.162624,3.884672,5.97849
fractal,cuda-basic-4,2,4.492608,4.442944,4.46805,11.061472,3.733152,8.28711
fractal,cuda-basic-4,4,1.385088,1.356064,1.37168,7.976960,4.644064,7.23845
fractal,cuda-basic-4,8,0.451616,0.407584,0.429107,7.038720,3.621472,5.34803
fractal,cuda-basic-4,16,0.293504,0.267104,0.282624,6.847040,3.580000,5.79255
fractal,cuda-basic-4,32,0.313920,0.294592,0.308541,6.901344,3.733152,6.2197
fractal,cuda-opt,2,4.474528,4.454624,4.463,11.054720,3.532448,6.95556
fractal,cuda-opt,4,1.374496,1.336224,1.35961,7.972064,4.641664,6.67118
fractal,cuda-opt,8,0.389792,0.363552,0.38113,6.978304,3.637856,6.23389
fractal,cuda-opt,16,0.252544,0.232096,0.244419,6.838208,3.504960,5.7171
fractal,cuda-opt,32,0.299616,0.286752,0.293146,5.993824,3.532448,4.45219
synthetic,cuda-basic,2,27.483393,27.446367,27.4695,36.327457,5.233952,22.2149
synthetic,cuda-basic,4,7.218368,7.197376,7.20597,16.072639,14.749728,15.0014
synthetic,cuda-basic,8,1.488288,1.458112,1.47297,10.332256,5.804160,7.83058
synthetic,cuda-basic,16,0.801152,0.785280,0.793811,9.609376,8.800992,9.16885
synthetic,cuda-basic,32,0.922240,0.890112,0.911558,9.796672,5.233952,9.28601
synthetic,cuda-basic-4,2,7.289120,7.256320,7.27663,16.177183,4.928192,11.3416
synthetic,cuda-basic-4,4,2.218528,2.183488,2.19979,11.039584,6.519648,10.0785
synthetic,cuda-basic-4,8,0.675584,0.641376,0.661766,9.459168,4.963328,7.28704
synthetic,cuda-basic-4,16,0.446208,0.429728,0.439411,8.620224,4.797120,7.34871
synthetic,cuda-basic-4,32,0.492320,0.458592,0.479709,9.319840,4.928192,8.14985
synthetic,cuda-opt,2,7.288128,7.256032,7.27342,15.357824,4.820672,10.5302
synthetic,cuda-opt,4,2.200544,2.166272,2.18354,10.970912,6.522240,8.53374
synthetic,cuda-opt,8,0.591520,0.560640,0.576947,9.414080,4.916416,7.00038
synthetic,cuda-opt,16,0.388288,0.364192,0.371226,9.182240,4.727648,6.38753
synthetic,cuda-opt,32,0.481376,0.451136,0.469283,9.320160,4.820672,7.6533
tree,cuda-basic,2,8.086048,8.036992,8.05604,11.660160,2.252000,7.18913
tree,cuda-basic,4,2.154784,2.131232,2.13992,5.944800,4.126304,5.28259
tree,cuda-basic,8,0.472704,0.460640,0.466618,4.310976,2.452544,3.76558
tree,cuda-basic,16,0.264224,0.244896,0.255597,4.077120,2.202368,3.18797
tree,cuda-basic,32,0.297600,0.278240,0.292048,4.074112,2.252000,3.58844
tree,cuda-basic-4,2,2.185888,2.146528,2.17091,5.983488,2.133088,4.15303
tree,cuda-basic-4,4,0.699872,0.675072,0.686749,4.475488,2.671552,4.21909
tree,cuda-basic-4,8,0.234912,0.211968,0.224589,4.366048,2.202560,3.35572
tree,cuda-basic-4,16,0.165568,0.143040,0.149101,3.946976,2.108736,2.46496
tree,cuda-basic-4,32,0.179936,0.156576,0.16921,3.949952,2.133088,3.17636
tree,cuda-opt,2,2.188544,2.160064,2.17576,5.947584,2.142976,4.14135
tree,cuda-opt,4,0.696480,0.674560,0.683882,4.554528,2.669664,4.18362
tree,cuda-opt,8,0.208480,0.186976,0.196278,3.956512,2.150464,2.97602
tree,cuda-opt,16,0.143456,0.127552,0.134186,3.488960,2.121888,2.73723
tree,cuda-opt,32,0.292320,0.153664,0.177997,4.009568,2.142976,3.05841
