Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
synthetic,cuda-basic,2,27.483393,27.446367,27.4695,36.327457,5.233952,22.2149
synthetic,cuda-basic,4,7.218368,7.197376,7.20597,16.072639,14.749728,15.0014
synthetic,cuda-basic,8,1.488288,1.458112,1.47297,10.332256,5.804160,7.83058
synthetic,cuda-basic,16,0.801152,0.785280,0.793811,9.609376,8.800992,9.16885
synthetic,cuda-basic,32,0.922240,0.890112,0.911558,9.796672,5.233952,9.28601
synthetic,cuda-basic-4,2,7.289120,7.256320,7.27663,16.177183,4.928192,11.3416
synthetic,cuda-basic-4,4,2.218528,2.183488,2.19979,11.039584,6.519648,10.0785
synthetic,cuda-basic-4,8,0.675584,0.641376,0.661766,9.459168,4.963328,7.28704
synthetic,cuda-basic-4,16,0.446208,0.429728,0.439411,8.620224,4.797120,7.34871
synthetic,cuda-basic-4,32,0.492320,0.458592,0.479709,9.319840,4.928192,8.14985
synthetic,cuda-opt,2,7.288128,7.256032,7.27342,15.357824,4.820672,10.5302
synthetic,cuda-opt,4,2.200544,2.166272,2.18354,10.970912,6.522240,8.53374
synthetic,cuda-opt,8,0.591520,0.560640,0.576947,9.414080,4.916416,7.00038
synthetic,cuda-opt,16,0.388288,0.364192,0.371226,9.182240,4.727648,6.38753
synthetic,cuda-opt,32,0.481376,0.451136,0.469283,9.320160,4.820672,7.6533
