Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
tree,cuda-basic,2,8.086048,8.036992,8.05604,11.660160,2.252000,7.18913
tree,cuda-basic,4,2.154784,2.131232,2.13992,5.944800,4.126304,5.28259
tree,cuda-basic,8,0.472704,0.460640,0.466618,4.310976,2.452544,3.76558
tree,cuda-basic,16,0.264224,0.244896,0.255597,4.077120,2.202368,3.18797
tree,cuda-basic,32,0.297600,0.278240,0.292048,4.074112,2.252000,3.58844
tree,cuda-basic-4,2,2.185888,2.146528,2.17091,5.983488,2.133088,4.15303
tree,cuda-basic-4,4,0.699872,0.675072,0.686749,4.475488,2.671552,4.21909
tree,cuda-basic-4,8,0.234912,0.211968,0.224589,4.366048,2.202560,3.35572
tree,cuda-basic-4,16,0.165568,0.143040,0.149101,3.946976,2.108736,2.46496
tree,cuda-basic-4,32,0.179936,0.156576,0.16921,3.949952,2.133088,3.17636
tree,cuda-opt,2,2.188544,2.160064,2.17576,5.947584,2.142976,4.14135
tree,cuda-opt,4,0.696480,0.674560,0.683882,4.554528,2.669664,4.18362
tree,cuda-opt,8,0.208480,0.186976,0.196278,3.956512,2.150464,2.97602
tree,cuda-opt,16,0.143456,0.127552,0.134186,3.488960,2.121888,2.73723
tree,cuda-opt,32,0.292320,0.153664,0.177997,4.009568,2.142976,3.05841
